Name,Order,Team,_id,imageURL,owner,playerID,price
Washington Sundar,99,Sunrisers Hyderabad,6237432cbc98f09d4442cd10,https://iplstatic.s3.amazonaws.com/players/284/2973.png,teamless,1211,0
Chamika Karunaratne,100,Kolkata Knight Riders,6237432cbc98f09d4442cd11,https://www.cricket.com.au/-/media/Players/Men/International/Sri%20Lanka/2021-22%20T20Is/Chamika-Karunaratne-2122.ashx,teamless,5666,0
K Gowtham,101,Lucknow Super Giants,6237432cbc98f09d4442cd12,https://cricdaddy.com/wp-content/uploads/2020/08/chahar-4.png,teamless,7761,0
Kuldeep Yadav,104,Delhi Capitals,6237432cbc98f09d4442cd15,https://www.cricket.com.au/-/media/Players/Men/International/India/ODIWC19/Kuldeep-Yadav-CWC19.ashx,teamless,56,0
Riley Meredith,106,Mumbai Indians,6237432cbc98f09d4442cd17,https://crictoday.com/wp-content/uploads/2021/02/image-12.png,teamless,428,0
Kartik Tyagi,111,Sunrisers Hyderabad,6237432cbc98f09d4442cd1c,https://sagarnandha.com/rajasthanroyalsstaging/uploads/images/players/e9a1z91y1d0fe6nee0154f8bpt6dacaq.png,Undrafted,9462,0
Mohammed Siraj,112,Royal Challengers Bangalore,6237432cbc98f09d4442cd1d,https://iplstatic.s3.amazonaws.com/players/284/3840.png,Undrafted,59,0
Jayant Yadav,116,Gujarat Titans,6237432cbc98f09d4442cd21,https://iplstatic.s3.amazonaws.com/players/284/1740.png,Undrafted,2792,0
Finn Allen,117,Royal Challengers Bangalore,6237432cbc98f09d4442cd22,https://addinghamcricketclub-static.yourcricket.site/images/2018/09/original/b7c78734815d458fc54ff627d4e1c984.png,Undrafted,10623,0
Murugan Ashwin,118,Mumbai Indians,6237432cbc98f09d4442cd23,https://addinghamcricketclub-static.yourcricket.site/images/2018/09/original/b7c78734815d458fc54ff627d4e1c984.png,Undrafted,3137,0
Mahipal Lomror,122,Royal Challengers Bangalore,6237432cbc98f09d4442cd27,https://addinghamcricketclub-static.yourcricket.site/images/2018/09/original/b7c78734815d458fc54ff627d4e1c984.png,Undrafted,3074,0
Pawan Negi,125,Kolkata Knight Riders,6237432cbc98f09d4442cd2a,https://www.cricket.com.au/-/media/Players/Men/International/India/Pawan-Negi-wt20.ashx,Undrafted,2423,0
Kamlesh Nagarkoti,126,Delhi Capitals,6237432cbc98f09d4442cd2b,https://iplstatic.s3.amazonaws.com/players/284/3766.png,Undrafted,4889,0
Karn Sharma,127,Royal Challengers Bangalore,6237432cbc98f09d4442cd2c,https://www.cricket.com.au/-/media/Players/Men/International/India/Karan-Sharma-ODI.ashx,Undrafted,2999,0
Mayank Markande,131,Mumbai Indians,6237432cbc98f09d4442cd30,https://res.cloudinary.com/celebritystill/image/upload/v1523803250/ipl/mayank-markande.png,Undrafted,3347,0
Thangarasu Natarajan,141,Sunrisers Hyderabad,6237432cbc98f09d4442cd3a,https://www.cricket.com.au/-/media/Players/Men/International/India/Thangarasu-Natarajan-T20I2020.ashx,Undrafted,3218,0
Prab Simran Singh,143,Punjab Lions,6237432cbc98f09d4442cd3c,https://addinghamcricketclub-static.yourcricket.site/images/2018/09/original/b7c78734815d458fc54ff627d4e1c984.png,Undrafted,4865,0
Manan Vohra,149,Lucknow Super Giants,6237432cbc98f09d4442cd42,https://addinghamcricketclub-static.yourcricket.site/images/2018/09/original/b7c78734815d458fc54ff627d4e1c984.png,Undrafted,2957,0
Darshan Nalkande,157,Gujarat Titans,6237432cbc98f09d4442cd4a,https://addinghamcricketclub-static.yourcricket.site/images/2018/09/original/b7c78734815d458fc54ff627d4e1c984.png,Undrafted,4874,0
Anukul Roy,159,Kolkata Knight Riders,6237432cbc98f09d4442cd4c,https://addinghamcricketclub-static.yourcricket.site/images/2018/09/original/b7c78734815d458fc54ff627d4e1c984.png,Undrafted,3350,0
Arjun Tendulkar,162,Mumbai Indians,6237432cbc98f09d4442cd4f,https://addinghamcricketclub-static.yourcricket.site/images/2018/09/original/b7c78734815d458fc54ff627d4e1c984.png,Undrafted,6667,0
Ripal Patel,163,Delhi Capitals,6237432cbc98f09d4442cd50,https://addinghamcricketclub-static.yourcricket.site/images/2018/09/original/b7c78734815d458fc54ff627d4e1c984.png,Undrafted,27566,0
Praveen Dubey,168,Delhi Capitals,6237432cbc98f09d4442cd55,https://addinghamcricketclub-static.yourcricket.site/images/2018/09/original/b7c78734815d458fc54ff627d4e1c984.png,Undrafted,3053,0
